,_id,device_id,latitude,longitude,type,SO2,CO,NO2,PM1_0,PM2_5,PM10_0,temperature,humidity,per_bat,free_sd,cnt_err_wifi,cnt_err_lte,cnt_err_sd,cnt_packet,time,AQI
447,616ea6a2e66c30339e577b79,fimi_1,21.005694450000004,105.84380555000001,fimi,0.2601,46.8223,-0.4556,21.7,22.6,25.1,30.0,64.1,85.36,15388128,13711,1821,0,,2021-10-19 18:06:07,
448,619e8d22bcafdf379b382510,fimi_1,21.005800599999997,105.84429898333335,fimi,0.0292,42.0756,-0.4556,15.5,16.4,19.3,26.2,59.6,86.3,15319264,56652,1426,0,,2021-11-25 02:06:06,
449,6199b7a26c6503c9fe4fbb3a,fimi_6,21.00581475,105.84429893333332,fimi,0.0234,-3.0578,-0.4579,12.0,13.0,15.0,31.3,66.5,89.93,15371104,1190,16,0,,2021-11-21 10:06:06,
450,616cac619d4daad11f4615f0,fimi_1,21.005790416666667,105.84428869999998,fimi,-0.0035,41.9596,-0.4556,11.8,12.3,13.9,24.6,67.3,81.13,15391232,5144,720,0,,2021-10-18 06:06:06,
451,6180d55220be12f18c906b0f,fimi_25,21.005836199999997,105.84426226666668,fimi,0.0777,-2.1061,-0.5148,15.8,16.9,20.0,29.7,59.9,85.47,15348352,19806,345,729,,2021-11-02 13:06:06,
452,61a27396a515430fcc131c65,fimi_15,21.005694450000004,105.84380555000001,fimi,0.0254,-1.7928,-0.4802,26.0,27.3,30.8,27.9,56.9,86.32,15411456,124602,8460,0,,2021-11-28 01:06:06,
453,61a702cdfb44687a2cd4bd97,fimi_29,21.005891683333335,105.84430543333335,fimi,-0.0268,-3.0578,-0.5048,13.5,14.6,20.0,27.8,44.0,26.28,15341312,2392,2,0,,2021-12-01 12:06:06,
454,6183dac120be12f18c9503c8,fimi_27,21.005811983333334,105.84426450000001,fimi,0.0703,-2.6632,-0.4277,19.6,20.9,23.2,29.9,64.5,32.46,15430656,29241,2044,0,,2021-11-04 20:06:06,
455,61a7b9978118b006b4ef7e9a,fimi_29,21.00582216666667,105.84428254999999,fimi,0.0361,-2.6748,-0.5037,31.5,32.9,37.1,23.9,52.8,27.56,15340224,1584,0,0,,2021-12-02 01:06:06,
456,617fca2120be12f18c8d9b56,fimi_30,21.00576878333333,105.8442703,fimi,0.1396,0.1801,-0.4288,11.7,12.9,14.5,27.3,67.2,83.33,15364000,1628,9,0,,2021-11-01 18:06:06,
457,61a69244fb44687a2cd2c64b,fimi_23,21.005694450000004,105.84380555000001,fimi,0.0663,-3.905,-0.5059,14.5,15.9,20.3,28.2,50.9,33.17,15387168,92698,1782,0,,2021-12-01 04:06:06,
458,61a1a0ada515430fcc0e2ff1,fimi_15,21.005694450000004,105.84380555000001,fimi,-0.002,-2.1293,-0.4802,18.0,19.5,23.5,26.8,54.1,82.23,15412768,121003,8445,0,,2021-11-27 10:06:07,
459,61867dc720be12f18c9dc332,fimi_1,21.005809683333336,105.84432421666666,fimi,0.0762,43.3406,-0.4556,22.3,23.6,26.7,31.9,62.3,86.48,15350752,42892,2414,0,,2021-11-06 20:06:07,
460,617d97a620be12f18c8725a3,fimi_6,21.005810483333335,105.84429458333334,fimi,-0.0192,-2.8721,-0.4556,11.4,11.8,12.3,24.3,74.8,32.85,0,3758,142,11275,,2021-10-31 02:06:06,
461,619a0c0b988f384fb48b91c1,fimi_1,21.00581873333333,105.84429791666668,fimi,0.0602,43.5959,-0.4545,15.0,16.3,19.9,34.9,56.6,82.79,15326432,36982,1237,0,,2021-11-21 16:06:06,
462,619a1a11988f384fb48bc010,fimi_1,21.005863683333338,105.84426518333333,fimi,0.0764,43.4915,-0.4556,15.3,16.4,19.8,33.6,57.8,82.84,15326336,37221,1246,0,,2021-11-21 17:06:06,
463,616e3626e66c30339e5638f9,fimi_14,21.00579505,105.84430881666667,fimi,0.0932,-1.1081,-0.5417,17.3,18.0,18.8,27.7,74.1,80.65,0,139195,21314,417586,,2021-10-19 10:06:06,
464,61722aa2e66c30339e61ab58,fimi_9,21.005694450000004,105.84380555000001,fimi,0.0505,-1.7232,-0.4825,9.9,10.8,14.8,28.5,52.8,90.22,15454528,1072,8,0,1073,2021-10-22 10:06:06,
465,619d1f8650ae11c898ebade5,fimi_15,21.005694450000004,105.84380555000001,fimi,-0.0294,-2.6516,-0.4813,10.8,11.7,15.9,25.7,51.2,82.45,15419936,101327,8392,0,,2021-11-24 00:06:06,
466,616d2af1e66c30339e536e86,fimi_6,21.0058512,105.84428916666666,fimi,-0.0002,-2.6284,-0.4568,11.1,11.5,12.0,23.5,74.4,42.9,15391680,73949,13276,0,,2021-10-18 15:06:06,
467,616ec2c6e66c30339e57d129,fimi_29,21.005783116666667,105.84428955,fimi,0.186,-0.9804,-0.5048,13.0,14.0,15.2,28.3,69.9,30.14,15411904,54767,6772,0,,2021-10-19 20:06:06,
468,61a87066566251ea9ee7e3ea,fimi_14,21.005816633333332,105.844314,fimi,0.0,-3.023,-0.5394,17.4,18.7,23.5,33.1,49.6,82.13,0,2029,16,6088,,2021-12-02 14:06:06,
469,61ac81040facef69219dad86,fimi_29,21.00584966666667,105.84431753333335,fimi,0.0049,-2.7096,-0.5037,17.0,18.3,23.5,29.5,46.4,26.52,15333728,1806,3,0,,2021-12-05 16:06:07,
470,61a177eaa515430fcc0d43ac,fimi_21,21.005694450000004,105.84380555000001,fimi,0.3695,-4.4969,-0.4445,11.3,12.0,14.3,26.0,62.4,70.0,15447776,17437,361,0,,2021-11-27 07:10:50,
471,617f9ff120be12f18c8d28e6,fimi_1,21.005778383333336,105.84428651666667,fimi,0.0797,44.2807,-0.4556,14.0,15.2,17.0,28.1,66.8,80.56,15361600,12977,278,0,,2021-11-01 15:06:06,
472,61acb943ebbcef4cfbd50b28,fimi_29,21.005694450000004,105.84380555000001,fimi,0.2274,1.1898,-0.5048,33.0,34.3,38.3,26.1,54.5,26.99,15333408,2766,5,0,,2021-12-05 20:06:06,97.64957301921251
473,61b03d429d066a70994b1b69,fimi_1,21.005694450000004,105.84380555000001,fimi,0.0878,44.5592,-0.4556,13.3,14.5,18.9,32.1,51.6,50.4,15291520,66602,706,0,,2021-12-08 12:06:07,55.34188736503793
474,618153e120be12f18c91b536,fimi_14,21.005792600000003,105.84429596666665,fimi,0.0125,-2.0017,-0.5417,18.9,19.6,19.7,26.7,77.1,82.97,0,125,6,377,,2021-11-02 22:06:06,
