,_id,temperature,humidity,CO,CO2,NO2,O3,SO2,er_init_sensor,er_read_sensor,er_out_of_range,er_system,type,device_id,sampling_interval,PM2_5,PM10_0,time
133,618483ec20be12f18c9702f1,27.46,82.27,0.47,479.0,0.0,0.004,0.001,0,0,0,0,envitus,70B3D509805D,60,46.0,59.0,2021-11-05 01:07:53
134,618002da20be12f18c8e33e1,23.51,83.96,0.672,518.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,25.0,26.0,2021-11-01 15:08:07
135,61657a9d54811a28701b57db,26.46,60.72,0.359,456.0,0.0,0.002,0.001,0,0,0,0,envitus,70B3D509805D,60,36.0,41.0,2021-10-12 12:07:55
136,617d519520be12f18c864d40,21.32,87.04,0.501,481.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,20.0,21.0,2021-10-30 14:07:14
137,61801ec120be12f18c8e7f08,23.4,83.22,0.381,507.0,0.0,0.002,0.002,0,0,0,0,envitus,70B3D509805D,60,21.0,22.0,2021-11-01 17:07:10
138,617f59df20be12f18c8c59a2,22.43,88.38,0.807,518.0,0.0,0.003,0.005,0,0,0,0,envitus,70B3D509805D,60,21.0,22.0,2021-11-01 03:07:08
139,6174a3e3e66c30339e6c8158,21.59,66.87,0.278,468.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,37.0,44.0,2021-10-24 00:08:00
140,617030a8e66c30339e5bd910,27.15,84.51,0.387,470.0,0.0,0.004,0.001,0,0,0,0,envitus,70B3D509805D,60,46.0,58.0,2021-10-20 15:07:16
141,61849fdd20be12f18c976318,30.53,67.37,0.23,444.0,0.0,0.002,0.001,0,0,0,0,envitus,70B3D509805D,60,31.0,34.0,2021-11-05 03:07:06
142,616e7cb6e66c30339e570104,27.35,72.63,0.449,467.0,0.0,0.002,0.002,0,0,0,0,envitus,70B3D509805D,60,41.0,48.0,2021-10-19 08:07:15
143,61740900e66c30339e69cc9f,24.18,63.72,1.25,471.0,0.0,0.003,0.004,0,0,0,0,envitus,70B3D509805D,60,58.0,68.0,2021-10-23 13:07:09
144,616badba074ea276ed71fe14,23.19,64.09,0.32,482.0,0.0,0.002,0.002,0,0,0,3072,envitus,70B3D509805D,60,4.0,4.0,2021-10-17 04:07:33
145,616871ca54811a287024d102,21.85,92.0,0.157,476.0,0.0,0.003,0.0,0,0,0,0,envitus,70B3D509805D,60,20.0,21.0,2021-10-14 18:07:02
146,6169b57454811a2870289798,21.86,93.64,0.09,483.0,0.0,0.003,0.0,0,0,0,0,envitus,70B3D509805D,60,9.0,9.0,2021-10-15 17:08:00
147,61723910e66c30339e61d43d,22.06,64.42,0.368,467.0,0.0,0.002,0.001,0,0,0,0,envitus,70B3D509805D,60,9.0,10.0,2021-10-22 04:07:41
148,6163563354811a2870145ea6,24.93,90.58,0.162,485.0,0.0,0.003,0.0,0,0,0,0,envitus,70B3D509805D,60,19.0,21.0,2021-10-10 21:08:00
149,6173280de66c30339e65d14c,20.63,64.17,0.095,462.0,0.0,0.002,0.0,0,0,0,0,envitus,70B3D509805D,60,20.0,20.0,2021-10-22 21:07:22
